entity,code,year,hydro_generation_twh,solar_generation_twh,wind_generation_twh,geo_biomass_other_twh,total_renewable_generation_twh,rank
Canada,CAN,2000,356.760078,0.016421,0.264000,8.917042,365.957541,1
United States,USA,2000,272.761351,0.518513,5.649759,66.582822,345.512445,2
Brazil,BRA,2000,304.403000,0.000000,0.001000,7.855363,312.259363,3
China,CHN,2000,222.410000,0.022000,0.589899,2.537000,225.558899,4
Russia,RUS,2000,164.076000,0.000000,0.001900,0.079100,164.157000,5
Norway,NOR,2000,141.818000,0.005300,0.030199,0.256000,142.109499,6
Japan,JPN,2000,84.468000,0.344062,0.109000,16.111082,101.032144,7
Sweden,SWE,2000,78.584000,0.001000,0.457000,4.098000,83.140000,8
India,IND,2000,76.990367,0.007071,1.582000,1.686079,80.265517,9
France,FRA,2000,66.363000,0.005223,0.048000,2.986000,69.402223,10
Venezuela,VEN,2000,62.886000,0.000000,0.000000,0.000000,62.886000,11
Italy,ITA,2000,44.200000,0.018000,0.563000,6.099000,50.880000,12
Austria,AUT,2000,41.835651,0.003000,0.067000,1.528279,43.433930,13
Mexico,MEX,2000,33.074880,0.007000,0.019000,6.358645,39.459525,14
Germany,DEU,2000,24.900000,0.000000,9.500000,3.400000,37.800000,15
Switzerland,CHE,2000,36.837333,0.011000,0.003000,0.833000,37.684333,16
Spain,ESP,2000,29.570000,0.018000,4.727000,1.493000,35.808000,17
Colombia,COL,2000,30.815718,0.001835,0.000000,0.496000,31.313553,18
Turkey,TUR,2000,30.878500,0.000000,0.033400,0.241500,31.153400,19
Argentina,ARG,2000,28.575242,0.000036,0.034758,0.386028,28.996064,20
New Zealand,NZL,2000,24.434970,0.000000,0.120208,3.740886,28.296064,21
Finland,FIN,2000,14.598788,0.001600,0.076600,8.588526,23.265514,22
Chile,CHL,2000,19.081000,0.000000,0.000000,1.375000,20.456000,23
Philippines,PHL,2000,7.799000,0.000000,0.000000,11.626000,19.425000,24
Pakistan,PAK,2000,17.558276,0.000000,0.000000,0.926700,18.484976,25
Australia,AUS,2000,16.466500,0.046750,0.134000,0.889500,17.536750,26
Peru,PER,2000,16.176100,0.000000,0.000800,0.158000,16.334900,27
Indonesia,IDN,2000,10.016000,0.000000,0.000000,4.872400,14.888400,28
Romania,ROU,2000,14.778000,0.000000,0.000000,0.000000,14.778000,29
Vietnam,VNM,2000,14.551000,0.000000,0.000000,0.000000,14.551000,30
Egypt,EGY,2000,14.178000,0.000200,0.080500,0.000000,14.258700,31
Portugal,PRT,2000,11.323000,0.001400,0.168000,1.376000,12.868400,32
Ukraine,UKR,2000,11.274000,0.000000,0.006000,0.000000,11.280000,33
United Kingdom,GBR,2000,5.085745,0.001000,0.946000,3.881800,9.914545,34
Iceland,ISL,2000,6.350488,0.000000,0.000000,1.322663,7.673151,35
Ecuador,ECU,2000,7.611231,0.000000,0.000000,0.000000,7.611231,36
Malaysia,MYS,2000,6.994000,0.000000,0.000000,0.570903,7.564903,37
Kazakhstan,KAZ,2000,7.531051,0.000000,0.000000,0.000000,7.531051,38
Croatia,HRV,2000,6.453000,0.000000,0.000000,0.001000,6.454000,39
Thailand,THA,2000,5.891444,0.000000,0.000000,0.526897,6.418341,40
Uzbekistan,UZB,2000,5.879000,0.000000,0.000000,0.000000,5.879000,41
Taiwan,TWN,2000,4.559980,0.000120,0.001383,1.047370,5.608853,42
Denmark,DNK,2000,0.030200,0.001200,4.241200,1.299606,5.572206,43
Slovakia,SVK,2000,4.615000,0.000000,0.000000,0.000000,4.615000,44
Greece,GRC,2000,3.693000,0.000000,0.451000,0.000000,4.144000,45
South Korea,KOR,2000,4.009553,0.005284,0.016685,0.079000,4.110522,46
Slovenia,SVN,2000,3.834000,0.000000,0.000000,0.070000,3.904000,47
Iran,IRN,2000,3.781000,0.000000,0.036500,0.000000,3.817500,48
Sri Lanka,LKA,2000,3.204208,0.000432,0.003400,0.000000,3.208040,49
Iraq,IRQ,2000,3.196577,0.000000,0.000000,0.000000,3.196577,50
Netherlands,NLD,2000,0.142393,0.007710,0.829000,2.013194,2.992297,51
Latvia,LVA,2000,2.819000,0.000000,0.005000,0.000000,2.824000,52
Bulgaria,BGR,2000,2.673000,0.000000,0.000000,0.000000,2.673000,53
Poland,POL,2000,2.106000,0.000000,0.005000,0.221000,2.332000,54
Czechia,CZE,2000,1.758000,0.000000,0.000000,0.517000,2.275000,55
South Africa,ZAF,2000,1.101000,0.009300,0.000000,0.477500,1.587800,56
Azerbaijan,AZE,2000,1.534000,0.000000,0.000000,0.000000,1.534000,57
Ireland,IRL,2000,0.846000,0.000000,0.244044,0.095017,1.185061,58
North Macedonia,MKD,2000,1.170000,0.000000,0.000000,0.000000,1.170000,59
Belgium,BEL,2000,0.460000,0.000000,0.016000,0.568000,1.044000,60
Morocco,MAR,2000,0.718000,0.000000,0.064000,0.000000,0.782000,61
Bangladesh,BGD,2000,0.749000,0.000000,0.000000,0.000000,0.749000,62
Lithuania,LTU,2000,0.339300,0.000000,0.000000,0.000000,0.339300,63
Singapore,SGP,2000,0.000000,0.000000,0.000000,0.245000,0.245000,64
Hungary,HUN,2000,0.178000,0.000000,0.000000,0.065000,0.243000,65
Luxembourg,LUX,2000,0.123504,0.000040,0.024743,0.022352,0.170639,66
Algeria,DZA,2000,0.054000,0.000000,0.000000,0.000000,0.054000,67
Israel,ISR,2000,0.031000,0.000000,0.000000,0.000000,0.031000,68
Belarus,BLR,2000,0.027000,0.000000,0.000000,0.000000,0.027000,69
Trinidad and Tobago,TTO,2000,0.000000,0.000127,0.000000,0.020000,0.020127,70
Estonia,EST,2000,0.005000,0.000000,0.000000,0.013000,0.018000,71
Turkmenistan,TKM,2000,0.003154,0.000000,0.000000,0.000000,0.003154,72
United Arab Emirates,ARE,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Hong Kong,HKG,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Kuwait,KWT,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Oman,OMN,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Qatar,QAT,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Saudi Arabia,SAU,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Cyprus,CYP,2000,0.000000,0.000000,0.000000,0.000000,0.000000,73
Canada,CAN,2001,331.521029,0.019579,0.329000,9.672149,341.541757,1
United States,USA,2001,210.240000,0.574351,6.805385,66.830436,284.450172,2
China,CHN,2001,277.430000,0.031000,0.719192,2.554000,280.734192,3
Brazil,BRA,2001,267.876000,0.000000,0.034900,8.990407,276.901307,4
Russia,RUS,2001,173.899000,0.000000,0.003100,0.114100,174.016200,5
Norway,NOR,2001,120.463000,0.005300,0.028758,0.255000,120.752058,6
Japan,JPN,2001,81.537000,0.499739,0.252000,16.028740,98.317479,7
Sweden,SWE,2001,79.061000,0.002000,0.482000,3.777000,83.322000,8
France,FRA,2001,74.268000,0.006161,0.131000,3.334000,77.739161,9
India,IND,2001,72.022962,0.011111,2.085000,2.069150,76.188223,10
Venezuela,VEN,2001,60.441000,0.000000,0.000000,0.000000,60.441000,11
Italy,ITA,2001,46.811000,0.019000,1.179000,6.338000,54.347000,12
Spain,ESP,2001,41.027000,0.024000,6.759000,1.631000,49.441000,13
Austria,AUT,2001,40.455482,0.005000,0.172000,1.667812,42.300294,14
Switzerland,CHE,2001,41.322879,0.013000,0.004000,0.876000,42.215879,15
Germany,DEU,2001,23.200000,0.100000,10.500000,5.200000,39.000000,16
Argentina,ARG,2001,36.580173,0.000043,0.049361,0.362998,36.992575,17
Mexico,MEX,2001,28.435330,0.008000,0.018000,6.247497,34.708827,18
Colombia,COL,2001,31.632658,0.002669,0.000000,0.496000,32.131327,19
New Zealand,NZL,2001,21.681162,0.000000,0.138988,3.529756,25.349906,20
Turkey,TUR,2001,24.009900,0.000000,0.062400,0.273600,24.345900,21
Chile,CHL,2001,21.680000,0.000000,0.007000,1.683000,23.370000,22
Finland,FIN,2001,13.149596,0.001700,0.069600,8.211789,21.432685,23
Pakistan,PAK,2001,18.291897,0.000000,0.000000,0.872100,19.163997,24
Vietnam,VNM,2001,18.210000,0.000000,0.000000,0.000000,18.210000,25
Peru,PER,2001,17.614800,0.000000,0.001200,0.163000,17.779000,26
Indonesia,IDN,2001,11.655000,0.000000,0.000000,6.034600,17.689600,27
Philippines,PHL,2001,7.104000,0.000000,0.000000,10.442000,17.546000,28
Australia,AUS,2001,16.123500,0.054150,0.287000,0.797500,17.262150,29
Portugal,PRT,2001,14.034000,0.001600,0.256000,1.450000,15.741600,30
Romania,ROU,2001,14.923000,0.000000,0.000000,0.000000,14.923000,31
Egypt,EGY,2001,14.413500,0.000900,0.179000,0.000000,14.593400,32
Ukraine,UKR,2001,12.032000,0.000000,0.016000,0.000000,12.048000,33
United Kingdom,GBR,2001,4.054648,0.002000,0.965000,4.526000,9.547648,34
Kazakhstan,KAZ,2001,8.081139,0.000000,0.000000,0.000000,8.081139,35
