entity,code,year,renewables_equivalent_primary_energy_pct,rank
Norway,NOR,2000,72.397888,1
Iceland,ISL,2000,67.805183,2
Brazil,BRA,2000,43.288433,3
Sweden,SWE,2000,38.595711,4
New Zealand,NZL,2000,36.374214,5
Austria,AUT,2000,32.954258,6
Peru,PER,2000,32.495964,7
Switzerland,CHE,2000,30.638752,8
Canada,CAN,2000,29.767817,9
Colombia,COL,2000,29.556067,10
Venezuela,VEN,2000,22.723845,11
Latvia,LVA,2000,22.118162,12
Ecuador,ECU,2000,21.613928,13
Vietnam,VNM,2000,20.092161,14
Croatia,HRV,2000,19.766573,15
Finland,FIN,2000,19.702833,16
Chile,CHL,2000,19.573402,17
Philippines,PHL,2000,18.595215,18
Sri Lanka,LKA,2000,17.715664,19
Slovenia,SVN,2000,14.703167,20
Portugal,PRT,2000,13.073340,21
Argentina,ARG,2000,12.283858,22
Pakistan,PAK,2000,11.344158,23
North Macedonia,MKD,2000,11.215344,24
Turkey,TUR,2000,10.657172,25
Romania,ROU,2000,10.396162,26
Egypt,EGY,2000,7.416068,27
Italy,ITA,2000,7.155643,28
Mexico,MEX,2000,7.150898,29
Denmark,DNK,2000,7.095675,30
Spain,ESP,2000,7.008231,31
France,FRA,2000,6.744561,32
Russia,RUS,2000,6.728621,33
India,IND,2000,6.376289,34
Slovakia,SVK,2000,6.252774,35
Kazakhstan,KAZ,2000,6.022824,36
China,CHN,2000,5.656925,37
Japan,JPN,2000,4.827454,38
United States,USA,2000,4.027357,39
Australia,AUS,2000,3.988878,40
Indonesia,IDN,2000,3.733640,41
Malaysia,MYS,2000,3.681303,42
Bulgaria,BGR,2000,3.634775,43
Azerbaijan,AZE,2000,3.446014,44
Greece,GRC,2000,3.284733,45
Iraq,IRQ,2000,2.929454,46
Uzbekistan,UZB,2000,2.899541,47
Germany,DEU,2000,2.887112,48
Thailand,THA,2000,2.574610,49
Ukraine,UKR,2000,2.103801,50
Ireland,IRL,2000,2.041655,51
Morocco,MAR,2000,1.968584,52
Taiwan,TWN,2000,1.646422,53
Bangladesh,BGD,2000,1.627073,54
Czechia,CZE,2000,1.443427,55
Luxembourg,LUX,2000,1.370370,56
Lithuania,LTU,2000,1.285724,57
United Kingdom,GBR,2000,1.134557,58
Netherlands,NLD,2000,0.925859,59
Iran,IRN,2000,0.808289,60
Poland,POL,2000,0.682802,61
South Korea,KOR,2000,0.542022,62
Belgium,BEL,2000,0.433269,63
South Africa,ZAF,2000,0.405558,64
Hungary,HUN,2000,0.261888,65
Singapore,SGP,2000,0.153654,66
Estonia,EST,2000,0.101668,67
Algeria,DZA,2000,0.053235,68
Trinidad and Tobago,TTO,2000,0.047050,69
Israel,ISR,2000,0.040316,70
Belarus,BLR,2000,0.031302,71
Turkmenistan,TKM,2000,0.007789,72
Oman,OMN,2000,0.000000,73
Qatar,QAT,2000,0.000000,73
Kuwait,KWT,2000,0.000000,73
Saudi Arabia,SAU,2000,0.000000,73
Hong Kong,HKG,2000,0.000000,73
Cyprus,CYP,2000,0.000000,73
United Arab Emirates,ARE,2000,0.000000,73
Iceland,ISL,2001,69.640244,1
Norway,NOR,2001,67.582459,2
Brazil,BRA,2001,39.111622,3
Sweden,SWE,2001,35.828453,4
Peru,PER,2001,35.526463,5
New Zealand,NZL,2001,32.730766,6
Switzerland,CHE,2001,31.928984,7
Austria,AUT,2001,30.816513,8
Colombia,COL,2001,30.604485,9
Canada,CAN,2001,28.201410,10
Vietnam,VNM,2001,22.102148,11
Chile,CHL,2001,22.047359,12
Venezuela,VEN,2001,20.884945,13
Croatia,HRV,2001,20.780861,14
Latvia,LVA,2001,20.512127,15
Ecuador,ECU,2001,19.692354,16
Finland,FIN,2001,17.716715,17
Sri Lanka,LKA,2001,17.628239,18
Philippines,PHL,2001,16.949202,19
Argentina,ARG,2001,15.937488,20
Portugal,PRT,2001,15.646869,21
Slovenia,SVN,2001,13.847439,22
Pakistan,PAK,2001,11.415050,23
Romania,ROU,2001,10.312889,24
Spain,ESP,2001,9.167547,25
Turkey,TUR,2001,9.108514,26
Italy,ITA,2001,7.608505,27
France,FRA,2001,7.405367,28
Denmark,DNK,2001,7.402515,29
Egypt,EGY,2001,7.225909,30
Russia,RUS,2001,6.975970,31
Slovakia,SVK,2001,6.664679,32
China,CHN,2001,6.618624,33
Mexico,MEX,2001,6.339307,34
North Macedonia,MKD,2001,6.336203,35
India,IND,2001,5.992525,36
Kazakhstan,KAZ,2001,5.704264,37
Japan,JPN,2001,4.716366,38
Indonesia,IDN,2001,4.112387,39
Australia,AUS,2001,3.870762,40
United States,USA,2001,3.421371,41
Malaysia,MYS,2001,3.139982,42
Iraq,IRQ,2001,3.016484,43
Azerbaijan,AZE,2001,3.011782,44
Germany,DEU,2001,2.941168,45
Uzbekistan,UZB,2001,2.938592,46
Thailand,THA,2001,2.571448,47
Morocco,MAR,2001,2.472590,48
Greece,GRC,2001,2.296041,49
Bulgaria,BGR,2001,2.270817,50
Ukraine,UKR,2001,2.264666,51
Bangladesh,BGD,2001,1.875003,52
Taiwan,TWN,2001,1.820539,53
Ireland,IRL,2001,1.661700,54
Czechia,CZE,2001,1.581800,55
Luxembourg,LUX,2001,1.252231,56
United Kingdom,GBR,2001,1.085675,57
Lithuania,LTU,2001,1.055019,58
Netherlands,NLD,2001,0.988376,59
Poland,POL,2001,0.820305,60
Iran,IRN,2001,0.818191,61
South Africa,ZAF,2001,0.540335,62
Belgium,BEL,2001,0.449205,63
