Entity,Code,Year,Renewables (TWh growth - equivalent)
Africa,,1966,4.744098663330078
Africa,,1967,2.0126266479492188
Africa,,1968,8.124931335449219
Africa,,1969,9.351619720458984
Africa,,1970,16.350791931152344
Africa,,1971,-4.258049011230469
Africa,,1972,10.706924438476562
Africa,,1973,5.079841613769531
Africa,,1974,12.794189453125
Africa,,1975,6.054901123046875
Africa,,1976,12.105010986328125
Africa,,1977,12.228485107421875
Africa,,1978,1.1374053955078125
Africa,,1979,9.653900146484375
Africa,,1980,-3.6872711181640625
Africa,,1981,5.597564697265625
Africa,,1982,0.0968780517578125
Africa,,1983,-14.683090209960938
Africa,,1984,-2.226226806640625
Africa,,1985,14.777542114257812
Africa,,1986,6.1285552978515625
Africa,,1987,-6.1768951416015625
Africa,,1988,13.32647705078125
Africa,,1989,7.9041595458984375
Africa,,1990,3.463592529296875
Africa,,1991,10.105743408203125
Africa,,1992,-8.148101806640625
Africa,,1993,-3.172088623046875
Africa,,1994,2.3874664306640625
Africa,,1995,6.96832275390625
Africa,,1996,8.298675537109375
Africa,,1997,4.9622344970703125
Africa,,1998,9.310379028320312
Africa,,1999,11.903167724609375
Africa,,2000,15.831619262695312
Africa,,2001,15.942398071289062
Africa,,2002,10.552993774414062
Africa,,2003,-7.53240966796875
Africa,,2004,13.57135009765625
Africa,,2005,3.151458740234375
Africa,,2006,10.14447021484375
Africa,,2007,5.752685546875
Africa,,2008,4.531829833984375
Africa,,2009,7.163726806640625
Africa,,2010,23.656402587890625
Africa,,2011,8.183624267578125
Africa,,2012,1.35137939453125
Africa,,2013,19.07232666015625
Africa,,2014,25.0079345703125
Africa,,2015,6.45928955078125
Africa,,2016,1.794525146484375
Africa,,2017,32.401153564453125
Africa,,2018,33.0010986328125
Africa,,2019,30.975067138671875
Africa,,2020,29.534454345703125
Africa,,2021,25.85040283203125
Africa (BP),,1966,4.744098663330078
Africa (BP),,1967,2.0126266479492188
Africa (BP),,1968,8.124927520751953
Africa (BP),,1969,9.35162353515625
Africa (BP),,1970,16.350791931152344
Africa (BP),,1971,-4.258049011230469
Africa (BP),,1972,10.706924438476562
Africa (BP),,1973,5.079841613769531
Africa (BP),,1974,12.794189453125
Africa (BP),,1975,6.054901123046875
Africa (BP),,1976,12.105010986328125
Africa (BP),,1977,12.228485107421875
Africa (BP),,1978,1.1374053955078125
Africa (BP),,1979,9.653900146484375
Africa (BP),,1980,-3.6872711181640625
Africa (BP),,1981,5.597564697265625
Africa (BP),,1982,0.0968780517578125
Africa (BP),,1983,-14.683090209960938
Africa (BP),,1984,-2.226226806640625
Africa (BP),,1985,14.777542114257812
Africa (BP),,1986,6.1285552978515625
Africa (BP),,1987,-6.1768951416015625
Africa (BP),,1988,13.32647705078125
Africa (BP),,1989,7.9041595458984375
Africa (BP),,1990,3.463592529296875
Africa (BP),,1991,10.105743408203125
Africa (BP),,1992,-8.148101806640625
Africa (BP),,1993,-3.172088623046875
Africa (BP),,1994,2.3874664306640625
Africa (BP),,1995,6.9683380126953125
Africa (BP),,1996,8.298660278320312
Africa (BP),,1997,4.962249755859375
Africa (BP),,1998,9.31036376953125
Africa (BP),,1999,11.903167724609375
Africa (BP),,2000,15.831619262695312
Africa (BP),,2001,15.9423828125
Africa (BP),,2002,11.04388427734375
Africa (BP),,2003,-7.4819183349609375
Africa (BP),,2004,13.666732788085938
Africa (BP),,2005,2.757598876953125
Africa (BP),,2006,9.973876953125
Africa (BP),,2007,6.471588134765625
Africa (BP),,2008,4.350738525390625
Africa (BP),,2009,6.89385986328125
Africa (BP),,2010,23.526947021484375
Africa (BP),,2011,8.4775390625
Africa (BP),,2012,1.453399658203125
Africa (BP),,2013,19.05419921875
Africa (BP),,2014,24.987823486328125
Africa (BP),,2015,6.605255126953125
Africa (BP),,2016,1.718902587890625
Africa (BP),,2017,32.390960693359375
Africa (BP),,2018,33.350738525390625
Africa (BP),,2019,30.84051513671875
Africa (BP),,2020,29.728271484375
Africa (BP),,2021,25.87384033203125
Algeria,DZA,1966,-0.1330646276473999
Algeria,DZA,1967,0.16263437271118164
Algeria,DZA,1968,0.4524195194244385
Algeria,DZA,1969,-0.5973119735717773
Algeria,DZA,1970,0.6475808620452881
Algeria,DZA,1971,-0.7392475605010986
Algeria,DZA,1972,0.487903356552124
Algeria,DZA,1973,0.7599459886550903
Algeria,DZA,1974,-0.7540321350097656
Algeria,DZA,1975,-0.49973106384277344
Algeria,DZA,1976,0.18037629127502441
Algeria,DZA,1977,-0.3548387885093689
Algeria,DZA,1978,-0.05618274211883545
Algeria,DZA,1979,0.12123662233352661
Algeria,DZA,1980,-0.10053783655166626
Algeria,DZA,1981,0.32231205701828003
Algeria,DZA,1982,0.33413970470428467
Algeria,DZA,1983,-0.721505343914032
Algeria,DZA,1984,0.64166659116745
Algeria,DZA,1985,0.5736559629440308
Algeria,DZA,1986,-1.1709678173065186
Algeria,DZA,1987,0.7362902760505676
Algeria,DZA,1988,-0.9344083666801453
Algeria,DZA,1989,0.12715023756027222
Algeria,DZA,1990,-0.2690858244895935
Algeria,DZA,1991,0.46720415353775024
Algeria,DZA,1992,-0.27795690298080444
Algeria,DZA,1993,0.4553763270378113
Algeria,DZA,1994,-0.5529568791389465
Algeria,DZA,1995,0.0798385739326477
Algeria,DZA,1996,-0.17150527238845825
Algeria,DZA,1997,-0.17741942405700684
Algeria,DZA,1998,0.413978636264801
Algeria,DZA,1999,-0.03548389673233032
Algeria,DZA,2000,-0.44059139490127563
Algeria,DZA,2001,0.043029993772506714
Algeria,DZA,2002,-0.03633388876914978
Algeria,DZA,2003,0.6021591424942017
Algeria,DZA,2004,-0.04523801803588867
Algeria,DZA,2005,0.8667588233947754
Algeria,DZA,2006,-0.9708935618400574
Algeria,DZA,2007,0.019882261753082275
Algeria,DZA,2008,0.15620410442352295
Algeria,DZA,2009,0.15986114740371704
Algeria,DZA,2010,-0.44968223571777344
Algeria,DZA,2011,0.5873293280601501
Algeria,DZA,2012,0.04713094234466553
Algeria,DZA,2013,-0.7921222448348999
Algeria,DZA,2014,0.34034666419029236
