Entity,Code,Year,Wind Capacity
Africa,,1997,0.006
Africa,,1998,0.01
Africa,,1999,0.064
Africa,,2000,0.13905000305175783
Africa,,2001,0.13905000305175783
Africa,,2002,0.14430999755859375
Africa,,2003,0.15361000061035157
Africa,,2004,0.2361300048828125
Africa,,2005,0.2401999969482422
Africa,,2006,0.32792498779296875
Africa,,2007,0.4701199951171875
Africa,,2008,0.5553200073242187
Africa,,2009,0.7423699951171875
Africa,,2010,0.8647969970703125
Africa,,2011,0.9950020141601563
Africa,,2012,1.12760400390625
Africa,,2013,1.7418339843750001
Africa,,2014,2.3993979492187503
Africa,,2015,3.3202680664062503
Africa,,2016,3.8264140625
Africa,,2017,4.57926318359375
Africa,,2018,5.471552734375
Africa,,2019,5.5287529296875
Africa,,2020,6.48465283203125
Africa,,2021,7.334152832031251
Africa (BP),,1997,0.006
Africa (BP),,1998,0.01
Africa (BP),,1999,0.064
Africa (BP),,2000,0.13905000305175783
Africa (BP),,2001,0.13905000305175783
Africa (BP),,2002,0.14430999755859375
Africa (BP),,2003,0.15361000061035157
Africa (BP),,2004,0.2361300048828125
Africa (BP),,2005,0.2401999969482422
Africa (BP),,2006,0.32792498779296875
Africa (BP),,2007,0.4701199951171875
Africa (BP),,2008,0.5553200073242187
Africa (BP),,2009,0.7423699951171875
Africa (BP),,2010,0.8647969970703125
Africa (BP),,2011,0.9950020141601563
Africa (BP),,2012,1.12760400390625
Africa (BP),,2013,1.7418339843750001
Africa (BP),,2014,2.3993979492187503
Africa (BP),,2015,3.3202680664062503
Africa (BP),,2016,3.8264140625
Africa (BP),,2017,4.57926318359375
Africa (BP),,2018,5.47155322265625
Africa (BP),,2019,5.5287529296875
Africa (BP),,2020,6.48465283203125
Africa (BP),,2021,7.334152832031251
Argentina,ARG,1997,0.009000000000000001
Argentina,ARG,1998,0.014
Argentina,ARG,1999,0.014
Argentina,ARG,2000,0.014112000465393067
Argentina,ARG,2001,0.024829000473022462
Argentina,ARG,2002,0.02579800033569336
Argentina,ARG,2003,0.025729000091552736
Argentina,ARG,2004,0.02782900047302246
Argentina,ARG,2005,0.02782900047302246
Argentina,ARG,2006,0.02782900047302246
Argentina,ARG,2007,0.02782900047302246
Argentina,ARG,2008,0.02782900047302246
Argentina,ARG,2009,0.02782900047302246
Argentina,ARG,2010,0.02782900047302246
Argentina,ARG,2011,0.05957899856567383
Argentina,ARG,2012,0.13697900390625
Argentina,ARG,2013,0.18997900390625
Argentina,ARG,2014,0.21518699645996095
Argentina,ARG,2015,0.18710400390625
Argentina,ARG,2016,0.18744200134277345
Argentina,ARG,2017,0.22674200439453127
Argentina,ARG,2018,0.7503419799804688
Argentina,ARG,2019,1.6093590087890626
Argentina,ARG,2020,2.623904052734375
Argentina,ARG,2021,3.2921240234375
Asia,,1997,1.127
Asia,,1998,1.246
Asia,,1999,1.395
Asia,,2000,1.414260009765625
Asia,,2001,2.176556884765625
Asia,,2002,2.402797119140625
Asia,,2003,3.601465087890625
Asia,,2004,5.46147021484375
Asia,,2005,6.972509765625
Asia,,2006,10.653403320312501
Asia,,2007,14.256196289062501
Asia,,2008,21.475419921875
Asia,,2009,32.258021484375
Asia,,2010,47.56460546875
Asia,,2011,67.92040625
Asia,,2012,85.2463828125
Asia,,2013,102.48746875
Asia,,2014,128.197578125
Asia,,2015,166.67778125
Asia,,2016,190.492984375
Asia,,2017,212.1905625
Asia,,2018,236.921703125
Asia,,2019,266.26896875
Asia,,2020,342.29275
Asia,,2021,397.26875
Asia Pacific (BP),,1997,1.117074951171875
Asia Pacific (BP),,1998,1.242074951171875
Asia Pacific (BP),,1999,1.4227550048828126
Asia Pacific (BP),,2000,1.4516099853515625
Asia Pacific (BP),,2001,2.256556884765625
Asia Pacific (BP),,2002,2.5232971191406253
Asia Pacific (BP),,2003,3.8199650878906253
Asia Pacific (BP),,2004,5.95347021484375
Asia Pacific (BP),,2005,7.81341015625
Asia Pacific (BP),,2006,11.526302734375001
Asia Pacific (BP),,2007,15.6062958984375
Asia Pacific (BP),,2008,22.800845703125
Asia Pacific (BP),,2009,33.5604453125
Asia Pacific (BP),,2010,48.525027343750004
Asia Pacific (BP),,2011,68.830515625
Asia Pacific (BP),,2012,86.0455703125
Asia Pacific (BP),,2013,103.43621093750001
Asia Pacific (BP),,2014,128.8175
Asia Pacific (BP),,2015,166.656796875
Asia Pacific (BP),,2016,189.155859375
Asia Pacific (BP),,2017,210.45846875
Asia Pacific (BP),,2018,235.158046875
Asia Pacific (BP),,2019,264.40815625
Asia Pacific (BP),,2020,341.25909375000003
Asia Pacific (BP),,2021,394.15040625
Australia,AUS,1997,0.004
Australia,AUS,1998,0.01
Australia,AUS,1999,0.01
Australia,AUS,2000,0.033
Australia,AUS,2001,0.076
Australia,AUS,2002,0.106
Australia,AUS,2003,0.19
Australia,AUS,2004,0.379
Australia,AUS,2005,0.74
Australia,AUS,2006,0.8190000000000001
Australia,AUS,2007,1.249
Australia,AUS,2008,1.441
Australia,AUS,2009,1.703
Australia,AUS,2010,1.864
Australia,AUS,2011,2.1270000000000002
Australia,AUS,2012,2.561
Australia,AUS,2013,3.221
Australia,AUS,2014,3.797
Australia,AUS,2015,4.181
Australia,AUS,2016,4.324
Australia,AUS,2017,4.812
Australia,AUS,2018,5.442
Australia,AUS,2019,6.279
Australia,AUS,2020,8.603
Australia,AUS,2021,8.950599609375
Austria,AUT,1997,0.02
Austria,AUT,1998,0.03
Austria,AUT,1999,0.042
Austria,AUT,2000,0.05
Austria,AUT,2001,0.067
Austria,AUT,2002,0.109
Austria,AUT,2003,0.322
Austria,AUT,2004,0.581
Austria,AUT,2005,0.825218994140625
Austria,AUT,2006,0.9682689819335938
Austria,AUT,2007,0.9911589965820312
Austria,AUT,2008,0.9919739990234375
Austria,AUT,2009,1.0009849853515624
Austria,AUT,2010,1.0158280029296876
Austria,AUT,2011,1.1059659423828125
Austria,AUT,2012,1.3371500244140626
Austria,AUT,2013,1.6745379638671876
Austria,AUT,2014,2.11027490234375
Austria,AUT,2015,2.48872607421875
Austria,AUT,2016,2.72999609375
Austria,AUT,2017,2.886697998046875
Austria,AUT,2018,3.132712890625
Austria,AUT,2019,3.224116943359375
Austria,AUT,2020,3.225985107421875
Austria,AUT,2021,3.523985107421875
Belgium,BEL,1997,0.009000000000000001
Belgium,BEL,1998,0.01
Belgium,BEL,1999,0.011
Belgium,BEL,2000,0.014
Belgium,BEL,2001,0.026000000000000002
Belgium,BEL,2002,0.031
Belgium,BEL,2003,0.067
Belgium,BEL,2004,0.096
Belgium,BEL,2005,0.167
