Entity,Code,Year,Solar per capita (kWh - equivalent)
Africa,,1971,0
Africa,,1972,0
Africa,,1973,0
Africa,,1974,0
Africa,,1975,0
Africa,,1976,0
Africa,,1977,0
Africa,,1978,0
Africa,,1979,0
Africa,,1980,0
Africa,,1981,0
Africa,,1982,0
Africa,,1983,0
Africa,,1984,0
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,0
Africa,,1989,0
Africa,,1990,0
Africa,,1991,0
Africa,,1992,0
Africa,,1993,0
Africa,,1994,0
Africa,,1995,0
Africa,,1996,0
Africa,,1997,0
Africa,,1998,0
Africa,,1999,0
Africa,,2000,0.04354448243975639
Africa,,2001,0.05290130898356438
Africa,,2002,0.05761035904288292
Africa,,2003,0.06667698174715042
Africa,,2004,0.07919798791408539
Africa,,2005,0.09183436632156372
Africa,,2006,0.1148429587483406
Africa,,2007,0.1482134461402893
Africa,,2008,0.20672687888145447
Africa,,2009,0.26415225863456726
Africa,,2010,0.576983630657196
Africa,,2011,1.557521104812622
Africa,,2012,2.4871609210968018
Africa,,2013,1.9111618995666504
Africa,,2014,4.476204872131348
Africa,,2015,7.4213972091674805
Africa,,2016,11.882055282592773
Africa,,2017,16.62670135498047
Africa,,2018,20.846847534179688
Africa,,2019,25.98419189453125
Africa,,2020,31.459884643554688
Africa,,2021,31.46375274658203
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0.7018285393714905
Algeria,DZA,2011,1.3633763790130615
Algeria,DZA,2012,1.960008978843689
Algeria,DZA,2013,2.043698787689209
Algeria,DZA,2014,4.176012992858887
Algeria,DZA,2015,3.9315450191497803
Algeria,DZA,2016,16.17389678955078
Algeria,DZA,2017,32.40678787231445
Algeria,DZA,2018,37.77962112426758
Algeria,DZA,2019,37.654075622558594
Algeria,DZA,2020,41.02543258666992
Algeria,DZA,2021,38.942291259765625
Argentina,ARG,1965,0
Argentina,ARG,1966,0
Argentina,ARG,1967,0
Argentina,ARG,1968,0
Argentina,ARG,1969,0
Argentina,ARG,1970,0
Argentina,ARG,1971,0
Argentina,ARG,1972,0
Argentina,ARG,1973,0
Argentina,ARG,1974,0
Argentina,ARG,1975,0
Argentina,ARG,1976,0
Argentina,ARG,1977,0
Argentina,ARG,1978,0
Argentina,ARG,1979,0
Argentina,ARG,1980,0
Argentina,ARG,1981,0
Argentina,ARG,1982,0
Argentina,ARG,1983,0
Argentina,ARG,1984,0
Argentina,ARG,1985,0
Argentina,ARG,1986,0
Argentina,ARG,1987,0
Argentina,ARG,1988,0
Argentina,ARG,1989,0
Argentina,ARG,1990,0
Argentina,ARG,1991,0
Argentina,ARG,1992,0
Argentina,ARG,1993,0
Argentina,ARG,1994,0
Argentina,ARG,1995,0
Argentina,ARG,1996,0
Argentina,ARG,1997,0
Argentina,ARG,1998,0.00139414775185287
Argentina,ARG,1999,0.0021099618170410395
Argentina,ARG,2000,0.002885451540350914
Argentina,ARG,2001,0.003390655852854252
Argentina,ARG,2002,0.0036416100338101387
Argentina,ARG,2003,0.004951999522745609
Argentina,ARG,2004,0.005239187739789486
Argentina,ARG,2005,0.005963666830211878
Argentina,ARG,2006,0.0065185013227164745
Argentina,ARG,2007,0.007769654039293528
Argentina,ARG,2008,0.010049305856227875
Argentina,ARG,2009,0.0052491445094347
Argentina,ARG,2010,0.005827825982123613
Argentina,ARG,2011,0.10756029188632965
Argentina,ARG,2012,0.5368594527244568
Argentina,ARG,2013,0.9736235737800598
Argentina,ARG,2014,1.0130491256713867
Argentina,ARG,2015,0.9179442524909973
Argentina,ARG,2016,0.8782072067260742
Argentina,ARG,2017,0.994381308555603
Argentina,ARG,2018,6.4489426612854
Argentina,ARG,2019,47.07346725463867
Argentina,ARG,2020,78.11953735351562
Argentina,ARG,2021,125.97250366210938
Asia,,1965,0
Asia,,1966,0
Asia,,1967,0
Asia,,1968,0
Asia,,1969,0
Asia,,1970,0
Asia,,1971,0
Asia,,1972,0
Asia,,1973,0
Asia,,1974,0
Asia,,1975,0
Asia,,1976,0
Asia,,1977,0
Asia,,1978,0
Asia,,1979,0
Asia,,1980,0
Asia,,1981,0
Asia,,1982,0
Asia,,1983,0
Asia,,1984,0
Asia,,1985,0
Asia,,1986,0
Asia,,1987,0
Asia,,1988,0
Asia,,1989,0
Asia,,1990,0.0036602600011974573
Asia,,1991,0.003596883499994874
Asia,,1992,0.01373391691595316
Asia,,1993,0.024866217747330666
Asia,,1994,0.0309342909604311
Asia,,1995,0.04192511737346649
Asia,,1996,0.06055491417646408
Asia,,1997,0.09575938433408737
Asia,,1998,0.13582053780555725
Asia,,1999,0.19676998257637024
Asia,,2000,0.30178388953208923
Asia,,2001,0.42989304661750793
Asia,,2002,0.5865340828895569
Asia,,2003,0.7867091298103333
Asia,,2004,1.019787073135376
Asia,,2005,1.2733105421066284
Asia,,2006,1.5513324737548828
Asia,,2007,1.8280396461486816
Asia,,2008,2.1783716678619385
Asia,,2009,2.766181230545044
Asia,,2010,3.863245725631714
Asia,,2011,6.708312034606934
Asia,,2012,9.932666778564453
Asia,,2013,18.340757369995117
Asia,,2014,36.629024505615234
Asia,,2015,55.588443756103516
Asia,,2016,82.71429443359375
Asia,,2017,128.27896118164062
Asia,,2018,180.2239990234375
Asia,,2019,224.4845733642578
Asia,,2020,264.71563720703125
Asia,,2021,324.2060241699219
Australia,AUS,1965,0
Australia,AUS,1966,0
Australia,AUS,1967,0
Australia,AUS,1968,0
Australia,AUS,1969,0
Australia,AUS,1970,0
Australia,AUS,1971,0
Australia,AUS,1972,0
Australia,AUS,1973,0
Australia,AUS,1974,0
Australia,AUS,1975,0
Australia,AUS,1976,0
Australia,AUS,1977,0
Australia,AUS,1978,0
Australia,AUS,1979,0
Australia,AUS,1980,0
Australia,AUS,1981,0
Australia,AUS,1982,0
Australia,AUS,1983,0
Australia,AUS,1984,0
Australia,AUS,1985,0
Australia,AUS,1986,0
Australia,AUS,1987,0
Australia,AUS,1988,0
Australia,AUS,1989,0
Australia,AUS,1990,0
Australia,AUS,1991,0.9372791647911072
Australia,AUS,1992,2.056032180786133
Australia,AUS,1993,2.4525039196014404
Australia,AUS,1994,2.890782356262207
Australia,AUS,1995,3.4757957458496094
Australia,AUS,1996,4.161731719970703
Australia,AUS,1997,4.929061412811279
Australia,AUS,1998,5.663567066192627
Australia,AUS,1999,6.389859676361084
Australia,AUS,2000,7.279026985168457
Australia,AUS,2001,8.287773132324219
Australia,AUS,2002,8.7709321975708
Australia,AUS,2003,9.339902877807617
Australia,AUS,2004,10.574448585510254
Australia,AUS,2005,11.92702579498291
Australia,AUS,2006,13.5156831741333
Australia,AUS,2007,15.377544403076172
Australia,AUS,2008,18.33652114868164
Australia,AUS,2009,37.26578140258789
Australia,AUS,2010,122.48152160644531
Australia,AUS,2011,250.2527618408203
Australia,AUS,2012,288.75140380859375
Australia,AUS,2013,450.90570068359375
Australia,AUS,2014,568.5374755859375
Australia,AUS,2015,697.14306640625
