Entity,Code,Year,Renewables (% equivalent primary energy)
Africa,,1965,5.747494698
Africa,,1966,6.122061729
Africa,,1967,6.325730801
Africa,,1968,7.005292892
Africa,,1969,7.956087589
Africa,,1970,9.16205883
Africa,,1971,8.131307602
Africa,,1972,8.747766495
Africa,,1973,8.542280197
Africa,,1974,9.26806736
Africa,,1975,9.238402367
Africa,,1976,9.416414261
Africa,,1977,9.80329895
Africa,,1978,9.519680977
Africa,,1979,9.350928307
Africa,,1980,8.486036301
Africa,,1981,7.859501839
Africa,,1982,7.378184795
Africa,,1983,6.456583023
Africa,,1984,6.159393311
Africa,,1985,6.580027103
Africa,,1986,6.703809738
Africa,,1987,6.234672546
Africa,,1988,6.350836277
Africa,,1989,6.648681164
Africa,,1990,6.56842804
Africa,,1991,6.961744308
Africa,,1992,6.552484035
Africa,,1993,6.421020508
Africa,,1994,6.290523529
Africa,,1995,6.283753395
Africa,,1996,6.411200523
Africa,,1997,6.448849201
Africa,,1998,6.65718317
Africa,,1999,6.836302757
Africa,,2000,7.174940586
Africa,,2001,7.414130688
Africa,,2002,7.605161667
Africa,,2003,7.041176319
Africa,,2004,6.933373451
Africa,,2005,6.99833107
Africa,,2006,7.123232841
Africa,,2007,7.009408474
Africa,,2008,6.716137886
Africa,,2009,6.775711536
Africa,,2010,7.101892471
Africa,,2011,7.225599289
Africa,,2012,6.989345551
Africa,,2013,7.195614338
Africa,,2014,7.509692192
Africa,,2015,7.464454174
Africa,,2016,7.307821274
Africa,,2017,7.739742279
Africa,,2018,8.169642448
Africa,,2019,8.559300423
Africa,,2020,9.624268532
Africa,,2021,9.555875778
Africa (BP),,1965,5.747495651
Africa (BP),,1966,6.122062206
Africa (BP),,1967,6.325730801
Africa (BP),,1968,7.005292892
Africa (BP),,1969,7.956087589
Africa (BP),,1970,9.16205883
Africa (BP),,1971,8.131307602
Africa (BP),,1972,8.747766495
Africa (BP),,1973,8.542280197
Africa (BP),,1974,9.26806736
Africa (BP),,1975,9.238402367
Africa (BP),,1976,9.416413307
Africa (BP),,1977,9.80329895
Africa (BP),,1978,9.519680977
Africa (BP),,1979,9.350928307
Africa (BP),,1980,8.486035347
Africa (BP),,1981,7.859501839
Africa (BP),,1982,7.378184795
Africa (BP),,1983,6.456583023
Africa (BP),,1984,6.159393311
Africa (BP),,1985,6.580027103
Africa (BP),,1986,6.703810215
Africa (BP),,1987,6.234672546
Africa (BP),,1988,6.350836277
Africa (BP),,1989,6.648681164
Africa (BP),,1990,6.56842804
Africa (BP),,1991,6.961744308
Africa (BP),,1992,6.552484035
Africa (BP),,1993,6.421020508
Africa (BP),,1994,6.290523529
Africa (BP),,1995,6.283753395
Africa (BP),,1996,6.411200523
Africa (BP),,1997,6.448850155
Africa (BP),,1998,6.65718317
Africa (BP),,1999,6.836302757
Africa (BP),,2000,7.174940586
Africa (BP),,2001,7.414130211
Africa (BP),,2002,7.619705677
Africa (BP),,2003,7.056476116
Africa (BP),,2004,6.950178146
Africa (BP),,2005,7.004724979
Africa (BP),,2006,7.125098228
Africa (BP),,2007,7.029091358
Africa (BP),,2008,6.730450153
Africa (BP),,2009,6.783567429
Africa (BP),,2010,7.106614113
Africa (BP),,2011,7.236809254
Africa (BP),,2012,7.002328396
Africa (BP),,2013,7.207865238
Africa (BP),,2014,7.521208286
Africa (BP),,2015,7.478593349
Africa (BP),,2016,7.320139408
Africa (BP),,2017,7.751569271
Africa (BP),,2018,8.187627792
Africa (BP),,2019,8.574492455
Africa (BP),,2020,9.644046783
Africa (BP),,2021,9.574977875
Algeria,DZA,1965,4.763067722
Algeria,DZA,1966,3.518747091
Algeria,DZA,1967,4.291953564
Algeria,DZA,1968,5.486194611
Algeria,DZA,1969,3.182763577
Algeria,DZA,1970,4.665683746
Algeria,DZA,1971,2.455918789
Algeria,DZA,1972,3.278343439
Algeria,DZA,1973,4.175826073
Algeria,DZA,1974,2.494738102
Algeria,DZA,1975,1.378281832
Algeria,DZA,1976,1.401022315
Algeria,DZA,1977,0.881728232
Algeria,DZA,1978,0.652115107
Algeria,DZA,1979,0.579293609
Algeria,DZA,1980,0.4290016
Algeria,DZA,1981,0.502940297
Algeria,DZA,1982,0.570870042
Algeria,DZA,1983,0.256449461
Algeria,DZA,1984,0.513673544
Algeria,DZA,1985,0.728265345
Algeria,DZA,1986,0.26640448
Algeria,DZA,1987,0.517427325
Algeria,DZA,1988,0.17717436
Algeria,DZA,1989,0.224958226
Algeria,DZA,1990,0.126738697
Algeria,DZA,1991,0.277606994
Algeria,DZA,1992,0.183757469
Algeria,DZA,1993,0.350280136
Algeria,DZA,1994,0.162578985
Algeria,DZA,1995,0.182247594
Algeria,DZA,1996,0.128803402
Algeria,DZA,1997,0.074455902
Algeria,DZA,1998,0.206179619
Algeria,DZA,1999,0.192743421
Algeria,DZA,2000,0.053235482
Algeria,DZA,2001,0.065218486
Algeria,DZA,2002,0.051676769
Algeria,DZA,2003,0.228103995
Algeria,DZA,2004,0.206786901
Algeria,DZA,2005,0.434118778
Algeria,DZA,2006,0.163271949
Algeria,DZA,2007,0.159904569
Algeria,DZA,2008,0.187754303
Algeria,DZA,2009,0.212785482
Algeria,DZA,2010,0.115132377
Algeria,DZA,2011,0.235259905
Algeria,DZA,2012,0.224531949
Algeria,DZA,2013,0.064763196
Algeria,DZA,2014,0.117502466
Algeria,DZA,2015,0.096813366
Algeria,DZA,2016,0.145807117
Algeria,DZA,2017,0.247018293
Algeria,DZA,2018,0.287679285
